date,type,business_id
20181122,Required,a2j0f0000008MVeAAM
20181122,Required,a2j0f0000008NG8AAM
20181122,Required,a2j0f0000015LXQAA2
20191204,Required,a2j0f0000015NSPAA2
20191204,Required,a2j0f0000015LARAA2
20191204,Required,a2j0f000001MjBXAA0
20191206,Follow-up,a2j0f0000015NmqAAE
20191206,Follow-up,a2j0f0000015LQdAAM
20191204,Required,a2j0f0000015LlmAAE
20191204,Required,a2j0f0000015MvzAAE
20191204,Required,a2j0f0000015Mi8AAE
20191204,Required,a2j0f0000010zXZAAY
20191204,Required,a2j0f0000015Lq5AAE
20191205,Required,a2j0f0000015MFwAAM
20191210,Required,a2j0f0000015NX8AAM
20191204,Required,a2j0f0000015NPSAA2
20191209,Follow-up,a2j0f0000010zXZAAY
20191204,Required,a2j0f0000015N5FAAU
20190708,Required,a2j0f0000015KveAAE
20190708,Required,a2j0f0000008N76AAE
20190708,Required,a2j0f000000Rz4LAAS
20190708,Required,a2j0f0000015P6DAAU
20170921,Required,a2j0f0000015NjnAAE
20170921,Required,a2j0f0000010zXjAAI
20170921,Required,a2j0f0000015Lx1AAE
20180412,Required,a2j0f0000015MvrAAE
20190712,Required,a2j0f000000ycB9AAI
20190618,Required,a2j0f0000008O2lAAE
20191015,Required,a2j0f0000003g77AAA
20191015,Required,a2j0f0000015LNRAA2
20191015,Required,a2j0f0000015NZmAAM
20191024,Required,a2j0f0000015N3zAAE
20180710,Required,a2j0f0000015L4qAAE
20190923,Required,a2j0f0000015LXRAA2
20190924,Follow-up,a2j0f000000yqLzAAI
20190923,Required,a2j0f0000008NvaAAE
20190923,Required,a2j0f0000015O3oAAE
20180905,Required,a2j0f0000015Lt5AAE
20180423,Required,a2j0f0000015LX0AAM
20190626,Follow-up,a2j0f000001NMz5AAG
20180528,Required,a2j0f0000015NfnAAE
20181219,Required,a2j0f000001NNE3AAO
20181219,Required,a2j0f0000015MWfAAM
20181219,Required,a2j0f0000015Ks5AAE
20181219,Required,a2j0f0000015MBCAA2
20181219,Required,a2j0f0000015MnJAAU
20181219,Required,a2j0f0000015LiOAAU
20181219,Required,a2j0f0000015MCSAA2
20181219,Required,a2j0f0000015MG4AAM
20180511,Required,a2j0f0000015NrKAAU
20180511,Required,a2j0f0000015L62AAE
20191008,Required,a2j0f0000015NybAAE
20191008,Required,a2j0f0000015NHsAAM
20191008,Required,a2j0f0000015LsyAAE
20191009,Follow-up,a2j0f0000015MMiAAM
20180927,Required,a2j0f0000015MyQAAU
20191008,Required,a2j0f0000015LE7AAM
20191008,Required,a2j0f0000015NHqAAM
20180226,Required,a2j0f0000015M7XAAU
20180305,Required,a2j0f0000015NgSAAU
20180306,Required,a2j0f0000015NIwAAM
20180306,Required,a2j0f0000015Lw3AAE
20180305,Required,a2j0f0000015Nz6AAE
20180305,Required,a2j0f0000015KxJAAU
20180305,Required,a2j0f0000015NyDAAU
20180305,Required,a2j0f0000015NN7AAM
20190530,Required,a2j0f0000015NAuAAM
20190814,Required,a2j0f0000015NFWAA2
20180723,Required,a2j0f0000015NnRAAU
20180723,Required,a2j0f0000015LofAAE
20180504,Required,a2j0f0000015NihAAE
20171208,Required,a2j0f0000015MsJAAU
20171208,Required,a2j0f0000015LoYAAU
20180504,Required,a2j0f0000015O2cAAE
20191203,Required,a2j0f0000015LvVAAU
20191126,Required,a2j0f0000015MjDAAU
20190213,Required,a2j0f0000015NJmAAM
20181002,Required,a2j0f0000015MXlAAM
20170918,Follow-up,a2j0f0000015N2yAAE
20170913,Required,a2j0f0000015M3ZAAU
20171122,Required,a2j0f0000008MBAAA2
20170815,Required,a2j0f0000015M9HAAU
20170815,Required,a2j0f0000015KpLAAU
20170815,Required,a2j0f0000015NCZAA2
